iter	RMSE
353	491.0457196
354	490.9295492
355	490.7768912
356	490.5855615
357	490.5014591
358	490.325369
359	490.2859459
360	490.1942921
361	490.0058721
362	489.9138694
363	489.7044024
364	489.4891122
365	489.2749013
366	489.0979394
367	488.8403719
368	488.7166711
369	488.5665601
370	488.5036323
371	488.2801254
372	488.089646
373	487.8574457
374	487.7212638
375	487.6149842
376	487.5826952
377	487.3934842
378	487.2638477
379	487.1518942
380	487.0669288
381	486.9871934
382	486.8770896
383	486.6804219
384	486.5424275
385	486.3732399
386	486.224011
387	486.1448963
388	486.0469078
389	485.9141983
390	485.8105019
391	485.6294873
392	485.5991386
393	485.4853767
394	485.3632552
395	485.1892819
396	485.0534815
397	484.9663974
398	484.8122327
399	484.639602
400	484.5070602
401	484.3496139
402	484.320762
403	484.1835534
404	484.01899
405	483.9368485
406	483.8256401
407	483.6445449
408	483.5627808
409	483.3610978
410	483.2191643
411	483.1005653
412	483.0585455
413	483.012902
414	482.9002237
415	482.7707741
416	482.6665429
417	482.5923759
418	482.4869956
419	482.4426902
420	482.3257204
421	482.1903727
422	482.0245582
423	481.9419185
424	481.8728888
425	481.7054895
426	481.5611066
427	481.4453488
428	481.3605987
429	481.3219444
430	481.2044823
431	481.0620854
432	481.0262712
433	480.9844926
434	480.867623
435	480.7506861
436	480.6330059
437	480.3802054
438	480.2513786
439	480.1718092
440	480.0928569
441	479.9853938
442	479.7876316
443	479.6669403
444	479.538092
445	479.4415494
446	479.3054705
447	479.1142079
448	478.8800219
449	478.8388022
450	478.7465413
451	478.6451381
452	478.5646284
453	478.385913
454	478.204842
455	478.0850407
456	477.9198767
457	477.8463491
458	477.7225935
459	477.5962004
460	477.3932802
461	477.2829243
462	477.1108653
463	476.9348996
464	476.8186595
465	476.7996936
466	476.6726589
467	476.5713482
468	476.4668876
469	476.3279173
470	476.2143273
471	476.0625102
472	475.9805638
473	475.8052592
474	475.6737852
475	475.5332812
476	475.4170833
477	475.1947311
478	475.0770616
479	474.9390034
480	474.8176327
481	474.7790876
482	474.668987
483	474.5063451
484	474.4827006
485	474.4637405
486	474.3834602
487	474.2993807
488	474.1049317
489	474.041645
490	473.9255304
491	473.8129797
492	473.7347025
493	473.6862157
494	473.6223392
495	473.5603019
496	473.3997513
497	473.2897728
498	473.1842545
499	473.0748622
